,F1,H1,H10O4,H10O5,H10O6,H10O7,H11O5,H11O6,H11O7,H12O5,H12O6,H12O7,H13O6,H13O7,H13O8,H14O6,H14O7,H15O7,H15O8,H16O7,H16O8,H16O9,H17O11,H17O8,H18O9,H19O9,H1F1,H1N1,H1O1,H1O2,H2,H21O10,H2F1,H2N1,H2O1,H2O2,H3N1,H3O1,H3O1F1,H3O2,H3O3,H4N1,H4O1,H4O2,H4O3,H4O4,H5O1N1,H5O2,H5O3,H5O4,H6O1N1,H6O3,H6O4,H6O5,H7O2N1,H7O3,H7O4,H7O5,H7O6,H8O4,H8O5,H8O6,H9O4,H9O5,H9O6,N1,O1,X1,grp_>C128,grp_C1-3,grp_C16-31,grp_C32-63,grp_C4-7,grp_C64-127,grp_C8-15
30,0,109,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,48,0,0,0,827,6,0,5,0,10,0,0,0,12,0,0,0,3,1,0,0,2,0,0,0,15,0,0,0,6,1,0,42,0,0,0,69,2070,5,20,14,18,11,6,20
30,1,94,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,832,4,0,3,0,9,0,0,0,7,2,0,0,4,2,0,0,2,1,0,0,12,0,0,0,6,0,0,36,0,0,0,70,2070,5,23,15,13,13,7,13
30,1,89,0,1,0,0,8,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,49,0,0,0,830,5,0,5,0,6,0,0,0,10,0,0,0,5,1,0,0,5,0,0,0,11,0,0,0,2,0,0,39,1,0,0,69,2070,6,14,17,16,8,4,14
30,1,89,0,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,47,0,0,0,829,4,0,6,0,6,0,0,0,7,0,0,0,3,2,0,0,4,1,0,0,18,1,0,0,0,1,0,34,0,0,0,69,2070,5,21,17,17,9,7,15
30,1,103,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,47,0,0,0,816,5,0,8,0,6,0,0,0,16,1,0,0,2,1,0,0,6,0,0,0,14,1,0,0,3,0,0,40,0,0,0,70,2070,6,20,22,14,10,5,13
30,0,113,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,835,3,0,3,0,6,0,0,0,5,2,0,0,4,3,0,0,1,0,0,0,19,0,0,0,7,0,0,37,0,0,0,73,2070,5,16,16,15,6,7,12
30,0,121,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,46,0,0,0,825,4,0,5,0,9,0,0,0,8,2,0,0,1,1,1,0,4,0,0,0,16,0,0,0,3,0,0,42,0,0,0,69,2070,4,28,16,14,11,5,20
30,0,104,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,49,0,0,0,837,3,0,4,0,10,0,0,0,8,1,0,0,4,2,0,0,5,0,0,0,14,0,0,0,3,0,0,42,0,0,0,70,2070,6,23,18,15,13,4,13
30,0,112,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,47,0,0,0,813,3,0,3,0,12,0,0,0,10,2,0,0,1,1,0,0,6,0,0,0,12,0,0,0,3,0,0,42,1,0,0,71,2070,5,21,16,15,8,6,15
30,0,127,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,46,0,0,0,808,4,0,6,0,7,0,0,0,16,1,0,0,3,2,0,0,7,0,0,0,14,2,0,0,6,0,0,36,0,0,0,70,2070,5,21,20,16,9,6,14
30,0,119,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,48,0,0,0,807,3,0,7,0,8,0,0,0,9,2,0,0,3,2,0,0,5,0,0,0,12,1,0,0,5,0,0,39,0,0,0,73,2070,5,20,21,15,12,8,16
30,0,106,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,47,0,0,0,808,4,0,10,0,7,0,0,0,19,0,0,0,1,3,0,0,4,1,0,0,18,1,0,0,4,0,0,33,0,0,0,72,2070,5,21,16,12,9,6,11
30,0,137,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,48,0,0,0,812,4,0,5,0,13,0,0,0,8,1,0,0,1,4,0,0,5,0,0,0,14,0,0,0,4,0,0,40,0,0,0,72,2070,5,24,14,13,5,7,18
30,1,125,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,48,0,0,1,812,5,0,8,0,9,0,0,0,12,0,0,0,2,2,0,0,4,0,0,0,19,2,0,0,2,0,0,33,1,0,0,73,2070,5,23,22,11,10,5,14
30,0,128,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,48,0,0,0,819,5,0,8,0,11,0,0,0,14,0,0,0,2,2,0,0,4,0,0,0,19,3,0,0,2,0,0,35,0,0,0,72,2070,6,25,16,11,10,4,15
30,0,126,0,3,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,0,48,0,0,0,815,3,0,8,0,6,0,0,0,12,3,0,0,5,1,0,0,5,0,0,0,13,1,0,0,5,0,0,36,0,0,0,74,2070,5,24,17,16,9,5,14
30,1,139,0,4,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,48,0,0,1,802,4,0,10,0,5,0,0,0,15,2,0,0,6,3,0,0,3,1,0,0,13,2,0,0,2,0,0,33,0,0,0,76,2070,5,18,15,15,8,6,17
30,0,145,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,49,0,0,0,814,6,0,9,0,11,0,0,0,9,0,0,0,5,3,0,0,3,0,0,0,12,2,0,0,5,0,0,35,0,0,0,74,2070,5,26,23,16,8,3,20
30,1,120,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,46,0,0,0,813,3,0,11,0,8,0,0,0,13,1,0,0,4,3,0,0,6,1,0,0,12,2,0,0,5,0,0,36,0,0,0,73,2070,6,18,16,14,14,6,13
30,1,135,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,48,0,0,0,806,5,0,10,0,9,0,0,0,11,0,0,0,3,2,0,0,6,0,0,0,13,0,0,0,6,0,0,38,0,0,0,74,2070,5,24,20,14,7,6,11
30,0,140,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,47,0,0,0,807,4,0,8,0,9,0,0,0,17,1,0,0,3,1,0,0,7,0,0,0,24,1,0,0,4,0,0,27,0,0,0,81,2070,6,22,15,18,11,3,20
30,0,157,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,46,0,0,0,807,2,0,7,0,6,0,0,0,13,3,0,0,2,0,0,0,7,0,0,0,15,2,0,0,6,0,0,31,0,0,0,74,2070,5,22,21,13,9,7,16
30,1,144,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,46,0,0,0,824,4,0,9,0,7,0,0,0,9,1,0,0,3,1,0,0,4,0,0,0,16,4,0,0,5,0,0,37,0,0,0,72,2070,6,27,17,12,18,5,17
30,0,145,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,43,0,0,0,823,5,0,8,0,7,0,0,0,9,0,0,0,8,0,0,0,4,0,0,0,10,3,0,0,6,0,0,35,0,0,0,75,2070,5,25,14,12,10,6,15
30,0,143,0,2,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,48,0,0,0,808,7,0,13,0,9,0,0,0,11,0,0,0,5,1,0,0,5,0,0,0,18,1,0,0,5,0,0,29,0,0,0,74,2070,5,17,15,11,15,7,13
30,1,135,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,48,0,0,0,805,3,0,12,0,11,0,0,0,14,2,0,0,4,3,0,0,4,0,0,0,20,1,0,0,4,0,0,32,0,0,0,73,2070,4,21,14,11,14,6,14
30,1,119,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,49,0,0,0,811,4,0,8,0,9,0,0,0,15,1,0,0,4,3,0,0,1,0,0,0,15,1,0,0,4,0,0,38,0,0,0,73,2070,6,20,15,12,11,6,14
30,0,114,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0,46,0,0,0,831,5,0,12,0,9,0,0,0,7,0,0,0,5,2,0,0,3,0,0,0,19,1,0,0,4,0,0,35,0,0,0,76,2070,6,22,16,14,10,8,15
30,0,119,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,49,0,0,0,821,3,0,10,0,11,0,0,0,12,2,0,0,6,1,0,0,2,0,0,0,17,2,0,0,1,0,0,41,0,0,0,74,2070,5,24,20,13,16,4,15
30,0,116,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,0,0,814,3,0,10,0,10,1,0,0,12,1,0,0,6,2,0,0,5,0,0,0,16,0,0,0,4,0,0,37,0,0,0,73,2070,5,28,17,13,9,7,15
30,0,134,0,1,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,46,0,0,0,815,3,0,8,0,11,0,0,0,5,2,0,0,3,0,0,0,1,0,0,0,22,1,0,0,4,1,0,31,0,0,0,74,2070,5,25,14,16,14,8,9
30,0,101,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,48,0,0,0,822,5,0,5,0,12,0,0,0,14,0,0,0,7,1,0,0,4,0,0,0,21,2,0,0,3,0,0,36,0,0,0,73,2070,5,26,15,18,9,8,12
30,1,132,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,48,0,0,0,808,4,0,7,0,9,0,0,0,14,0,0,0,3,1,0,0,8,1,0,0,18,0,0,0,5,0,0,35,0,0,0,75,2070,6,24,17,17,11,2,17
30,1,121,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,48,0,0,0,801,3,0,5,0,16,0,0,0,12,2,0,0,6,0,0,0,4,0,0,0,16,1,0,0,2,0,0,40,0,0,0,74,2070,5,21,20,16,11,4,17
30,1,116,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,47,0,0,0,804,3,0,6,0,13,0,0,0,11,2,0,0,6,1,0,0,4,0,0,0,15,0,0,0,3,0,0,44,2,0,0,72,2070,6,26,15,17,18,3,17
