# LAMMPS data file written by reax_tools

140 atoms
146 bonds
3 atom types
1 bond types

0 8.8419 xlo xhi
0 5.1049 ylo yhi
0 31.6993 zlo zhi

Atoms # full

3 1 1 0.0 8.829 4.993 3.881 0 0 0
25 1 2 0.0 1.187 4.443 2.397 0 0 0
8 1 1 0.0 1.436 2.697 2.541 0 0 0
34 1 2 0.0 3.240 1.816 1.773 0 0 0
40 1 2 0.0 1.536 1.091 3.962 0 0 0
9 1 1 0.0 3.090 0.166 3.395 0 0 0
48 1 2 0.0 4.442 1.086 4.815 0 0 0
4 1 1 0.0 4.466 2.714 3.593 0 0 0
29 1 2 0.0 4.328 4.219 1.967 0 0 0
7 1 1 0.0 5.753 0.137 2.174 0 0 0
26 1 2 0.0 6.306 1.928 2.320 0 0 0
43 1 2 0.0 3.253 3.517 4.568 0 0 0
39 1 2 0.0 6.053 3.527 4.424 0 0 0
10 1 1 0.0 7.386 2.291 4.411 0 0 0
44 1 2 0.0 7.348 0.785 4.327 0 0 0
13 1 1 0.0 5.985 5.073 5.624 0 0 0
37 1 2 0.0 4.561 4.257 6.891 0 0 0
16 1 1 0.0 4.065 2.418 6.496 0 0 0
46 1 2 0.0 5.833 1.471 6.968 0 0 0
12 1 1 0.0 7.304 2.490 7.593 0 0 0
38 1 2 0.0 0.098 1.573 6.780 0 0 0
14 1 1 0.0 1.344 2.407 5.297 0 0 0
47 1 2 0.0 8.716 3.542 4.921 0 0 0
42 1 2 0.0 2.638 1.707 6.839 0 0 0
11 1 1 0.0 2.955 4.987 7.815 0 0 0
45 1 2 0.0 1.450 4.066 6.762 0 0 0
15 1 1 0.0 0.058 4.881 6.734 0 0 0
41 1 2 0.0 7.178 4.319 6.960 0 0 0
17 1 1 0.0 5.950 5.056 8.503 0 0 0
52 1 2 0.0 4.294 0.707 9.100 0 0 0
22 1 1 0.0 4.372 2.478 9.456 0 0 0
55 1 2 0.0 6.062 3.286 9.052 0 0 0
24 1 1 0.0 7.388 2.380 10.548 0 0 0
51 1 2 0.0 8.708 3.184 9.066 0 0 0
18 1 1 0.0 1.438 2.541 8.097 0 0 0
56 1 2 0.0 1.648 0.797 9.081 0 0 0
21 1 1 0.0 0.052 0.001 9.527 0 0 0
60 1 2 0.0 7.357 0.967 9.067 0 0 0
58 1 2 0.0 8.765 1.494 11.093 0 0 0
20 1 1 0.0 1.225 2.497 11.551 0 0 0
50 1 2 0.0 2.965 1.878 11.142 0 0 0
23 1 1 0.0 2.929 0.061 10.470 0 0 0
57 1 2 0.0 4.457 4.149 11.212 0 0 0
19 1 1 0.0 5.999 5.070 12.379 0 0 0
49 1 2 0.0 7.474 4.386 11.214 0 0 0
1 1 1 0.0 8.645 0.055 12.316 0 0 0
53 1 2 0.0 1.237 4.222 11.252 0 0 0
28 1 2 0.0 7.391 0.691 13.986 0 0 0
6 1 1 0.0 7.416 2.450 13.325 0 0 0
31 1 2 0.0 8.790 3.617 13.766 0 0 0
35 1 2 0.0 5.596 3.540 13.373 0 0 0
2 1 1 0.0 4.724 2.497 11.834 0 0 0
