C,C2,C2H,C2H2,C2H2O,C2H2O2,C2H2O3,C2H3,C2H3O,C2H3O2,C2H3O3,C2H4,C2H4O,C2H4O2,C2H4O3,C2H5,C2H5O,C2H5O2,C2H6O,C2H6O2,C2HO,C2HO2,C2HO3,C2O,C2O2,C2O3,C3H2,C3H2O,C3H2O2,C3H2O3,C3H3,C3H3O,C3H4,C3H4O,C3H4O3,C3H5,C3H6,C3HO,C3HO2,C3HO3,C3O2,CH,CH2,CH2O,CH2O2,CH3,CH3O,CH3O2,CH4,CH4O,CH4O2,CHO,CHO2,CHO3,CO,CO2,CO3,H,H2,H2O,H2O2,H2O3,HO,HO2,HO3,O,O2,O3,O4
0,0,0,0,0,0,0,0,3,0,0,16,1,0,0,19,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,28,16,0,1,0,0,3,0,0,0,0,0,1,0,17,0,0,30,18,0,0,276,0,0
0,0,0,0,0,0,0,1,3,0,0,19,3,0,0,17,7,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,19,10,0,1,0,0,2,0,0,1,0,0,8,0,19,1,0,31,17,0,4,273,0,0
0,0,0,0,0,0,0,3,4,0,0,13,2,0,0,18,8,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,15,0,1,0,0,4,0,0,0,0,0,4,0,21,0,0,29,19,0,1,272,0,0
0,0,0,0,1,0,0,3,3,0,0,13,5,0,0,19,9,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,22,11,0,1,0,0,1,0,0,1,0,0,5,0,23,2,0,27,19,0,0,271,0,0
0,0,0,0,1,0,0,2,3,0,0,18,5,0,0,13,9,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,21,10,0,1,0,0,1,0,0,1,0,0,7,0,25,0,0,27,20,0,1,269,0,0
0,0,0,0,1,0,0,3,3,0,0,19,5,0,0,14,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,0,25,10,0,1,0,0,1,0,0,1,0,0,6,0,26,0,0,33,22,0,0,267,0,0
0,0,0,0,1,0,0,4,3,0,0,18,5,1,0,13,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,31,11,0,1,0,0,1,0,1,1,0,0,8,0,27,0,0,31,22,0,0,266,0,0
0,0,0,0,1,0,0,2,4,0,0,21,6,2,0,13,4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,23,11,0,1,0,0,0,0,0,1,1,0,6,0,29,0,0,30,22,0,1,264,0,0
0,0,0,1,1,0,0,3,6,1,0,20,3,0,0,18,7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,23,11,0,1,0,0,0,0,1,1,0,0,9,0,32,0,0,34,22,0,0,264,0,0
0,0,0,1,2,0,0,2,5,0,0,21,4,0,0,14,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,22,12,0,1,0,0,0,0,0,1,1,0,5,1,33,0,0,34,20,0,1,264,0,0
0,0,0,1,3,0,0,2,3,0,0,21,2,0,0,13,3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,32,9,0,1,0,0,3,0,0,2,1,0,2,1,34,0,0,35,23,0,0,262,0,0
0,0,0,1,3,0,0,2,3,0,0,23,5,0,0,13,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,28,12,0,1,0,0,0,0,0,2,1,0,5,1,35,0,0,33,22,0,0,263,0,0
0,0,0,1,2,0,0,4,3,0,0,21,4,0,0,14,6,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,28,11,0,1,1,0,1,0,0,3,1,0,7,1,36,0,0,32,23,0,0,262,0,0
0,0,0,1,2,0,0,3,3,0,0,21,6,0,0,17,6,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,26,10,0,1,1,0,1,0,0,2,1,0,5,1,37,0,0,36,23,0,1,260,0,0
0,0,0,1,2,0,0,4,3,0,0,21,4,0,0,16,4,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,26,8,0,1,1,0,1,0,0,3,1,0,7,1,38,0,0,34,23,0,1,260,0,0
0,0,0,2,2,0,0,2,4,0,0,23,6,0,0,15,3,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,25,12,0,1,1,0,2,0,0,2,1,0,6,1,40,0,0,33,24,0,2,258,0,0
0,0,0,1,2,0,0,3,4,0,0,26,5,0,0,14,3,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,26,11,1,1,0,0,2,0,0,2,1,0,6,1,42,0,0,34,24,0,1,257,0,0
0,0,0,1,2,0,0,4,4,0,0,24,6,0,0,13,4,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,25,8,1,2,1,0,1,0,0,2,1,0,3,1,42,1,0,33,25,0,2,256,0,0
0,0,0,1,4,0,0,4,2,0,0,23,4,0,0,14,3,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,18,0,24,8,0,1,1,0,2,0,0,2,1,0,6,1,43,0,0,32,25,0,1,257,0,0
0,0,1,0,4,0,0,6,2,1,0,23,3,0,0,15,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,26,8,0,2,1,0,3,0,0,2,1,0,4,1,46,0,0,32,25,0,1,256,0,0
0,0,1,0,3,0,0,6,4,0,0,24,4,0,0,13,1,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,17,0,26,7,0,1,1,0,2,0,0,3,1,0,8,1,47,0,0,34,24,0,1,257,0,0
0,0,1,0,3,0,0,9,3,0,0,24,6,0,0,12,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,26,9,0,2,1,0,1,0,0,2,1,0,8,1,47,0,0,33,26,0,1,255,0,0
0,0,1,1,3,0,0,6,3,0,0,25,6,1,0,10,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,26,9,0,3,1,0,3,0,0,2,1,0,6,1,49,0,0,29,27,0,1,254,0,0
0,0,0,0,3,0,0,8,3,0,0,24,6,0,0,14,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,25,8,0,3,1,0,4,0,0,2,1,0,7,1,49,0,0,33,27,0,2,253,0,0
0,0,0,1,2,0,0,7,7,0,0,26,2,0,0,9,3,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,25,8,0,3,1,0,3,0,0,2,1,0,6,2,50,0,0,28,27,0,2,253,0,0
0,0,0,1,4,0,0,9,5,0,0,23,2,0,0,12,2,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,25,10,0,3,0,0,5,0,0,2,1,0,9,2,50,0,0,32,28,0,2,251,0,0
0,0,0,2,2,0,0,8,6,0,0,23,3,0,0,11,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,28,9,0,3,1,0,3,0,0,3,1,0,4,2,51,0,0,32,27,0,2,251,0,0
0,0,0,2,2,0,0,7,6,0,0,24,4,0,0,11,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,26,9,0,3,1,0,4,0,0,2,1,0,4,2,51,0,0,33,26,0,3,251,0,0
0,0,0,3,2,0,0,6,6,0,0,23,4,0,0,13,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,22,6,1,4,1,0,4,0,0,3,1,0,4,2,53,0,0,31,27,0,2,250,0,0
0,0,0,3,5,0,0,6,4,0,0,24,3,0,0,11,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,26,8,1,3,1,0,5,0,0,3,1,0,6,2,55,0,0,30,28,0,2,248,0,0
0,0,0,3,3,0,0,6,5,0,0,24,2,0,0,13,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,27,7,0,3,1,0,5,0,0,5,1,0,6,2,55,0,0,37,25,0,3,249,0,0
0,0,0,3,2,0,0,5,6,0,0,25,2,0,0,11,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,29,8,0,3,0,0,3,0,0,6,1,0,6,2,56,0,0,36,26,0,3,247,0,0
0,0,0,3,4,0,0,4,6,0,0,26,2,0,0,11,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,28,5,0,4,0,0,4,1,0,5,1,0,6,2,56,0,0,36,28,0,4,244,0,0
0,0,0,3,5,0,0,5,5,0,0,26,2,0,0,10,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,28,5,1,4,0,0,3,0,0,5,2,0,7,2,57,0,0,37,28,0,3,243,0,0
0,0,0,3,6,0,0,5,4,0,0,24,3,0,0,13,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,26,6,1,4,0,0,1,0,0,7,2,0,6,2,58,0,0,39,27,0,3,242,0,0
0,0,0,4,6,0,0,5,4,0,0,25,3,0,0,11,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,28,7,1,3,0,0,2,0,0,5,2,0,6,2,60,0,0,37,27,0,3,242,0,0
0,0,0,4,4,0,0,6,4,0,0,24,3,0,0,9,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,29,5,0,4,0,0,3,0,0,6,2,0,9,2,61,0,0,38,27,0,3,242,0,0
0,0,0,4,6,0,0,5,4,0,0,24,3,0,0,12,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,0,25,4,2,4,0,0,6,0,0,5,2,0,5,2,62,0,0,38,28,0,3,239,0,0
0,0,0,4,7,0,0,6,3,0,0,24,3,0,0,11,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,1,22,6,0,3,0,0,6,0,0,5,2,0,12,2,61,0,0,39,28,0,5,238,0,0
0,0,0,4,7,0,0,4,4,0,0,26,2,0,0,11,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,26,6,0,4,0,0,9,0,0,5,2,0,7,2,61,0,0,41,28,0,3,239,0,0
0,0,0,6,6,0,0,3,5,0,0,25,2,0,0,10,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,26,6,0,4,0,0,6,0,0,7,2,0,7,2,61,1,0,41,29,0,3,236,0,0
0,0,0,4,6,0,0,7,3,0,0,25,3,0,0,10,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,25,3,0,4,0,0,5,0,0,8,2,0,8,2,62,0,0,46,28,0,5,235,0,0
0,0,0,5,6,0,0,6,3,0,0,25,3,0,0,11,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,25,4,0,4,0,0,6,0,0,8,2,0,7,2,63,0,0,43,31,0,3,235,0,0
0,0,0,5,6,0,0,7,5,0,0,22,2,0,0,13,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,25,4,0,4,0,0,6,0,0,7,2,0,5,3,64,0,0,42,29,0,3,237,0,0
0,0,0,5,6,0,0,6,5,0,0,24,1,0,0,11,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,26,5,0,4,0,0,6,0,0,7,2,0,3,3,64,0,0,42,30,0,3,236,0,0
0,0,1,4,6,0,0,7,5,0,0,27,2,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,29,7,0,3,0,0,6,0,0,7,2,0,9,3,65,0,0,41,30,0,3,236,0,0
0,0,0,5,6,0,0,9,5,0,0,24,2,0,0,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,26,6,0,4,0,0,4,0,0,8,2,0,7,3,65,0,0,44,29,0,4,235,0,0
0,0,0,4,6,1,0,6,6,0,0,26,2,0,0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,23,4,0,4,0,0,5,0,0,7,2,0,5,3,65,0,0,43,30,0,3,234,0,0
0,0,0,5,7,0,0,6,4,0,0,25,2,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,27,5,0,3,0,0,4,0,0,8,2,0,4,3,65,0,0,44,30,0,3,235,0,0
0,0,0,7,6,0,0,5,5,0,0,24,2,0,0,11,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,0,24,4,0,4,0,0,5,0,0,8,2,0,7,3,65,0,0,43,31,0,3,234,0,0
0,0,0,6,6,0,0,7,6,0,0,23,2,0,0,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,25,5,0,3,0,0,6,0,0,7,2,0,7,3,66,0,0,43,31,0,4,233,0,0
0,0,0,7,6,0,0,10,6,0,0,21,3,0,0,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,25,4,0,3,0,0,3,0,0,8,2,0,9,2,68,0,0,49,27,0,4,233,0,0
0,0,1,6,7,0,0,8,5,0,0,24,3,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,25,4,0,3,0,0,4,0,0,8,2,0,12,2,69,0,0,46,28,0,4,233,0,0
0,0,0,5,7,1,0,8,5,0,0,23,3,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,25,2,0,3,0,0,5,0,0,7,2,0,6,3,68,0,0,51,26,0,5,232,0,0
0,0,0,5,6,0,0,9,5,0,0,23,3,0,0,9,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,26,3,0,3,0,0,4,0,0,10,2,0,8,3,68,0,0,47,30,0,3,231,0,0
0,0,0,5,6,0,0,11,6,0,0,24,3,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,27,3,0,3,0,0,5,0,0,8,2,0,6,3,68,0,0,47,32,0,3,229,0,0
0,0,0,5,7,0,0,12,5,0,0,20,2,0,0,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,27,3,0,2,0,0,5,0,0,8,2,0,4,3,68,0,0,48,33,0,2,228,0,0
0,0,1,4,8,0,0,12,4,0,0,21,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,25,3,0,3,0,0,5,0,0,8,2,0,6,3,68,0,0,49,34,0,2,227,0,0
0,0,0,5,7,0,0,12,4,0,0,22,2,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,27,3,0,3,0,0,8,0,0,8,2,0,6,3,68,0,0,49,34,0,2,226,0,0
0,0,0,7,7,0,0,10,5,0,0,21,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,30,3,0,3,0,0,8,0,0,8,2,0,6,3,68,0,0,50,33,0,4,226,0,0
0,0,0,7,8,0,0,9,4,0,0,22,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,29,2,1,3,0,0,5,0,0,10,2,0,6,3,68,1,0,49,34,0,3,224,0,0
0,0,0,6,7,0,0,10,5,0,0,22,1,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,27,3,1,3,0,0,5,1,0,9,2,0,4,3,68,0,0,50,34,0,3,224,0,0
0,0,0,6,7,0,0,10,5,0,0,24,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,27,3,1,3,0,0,8,1,0,8,2,0,5,3,70,0,0,50,32,0,3,225,0,0
0,0,0,7,8,0,0,9,4,0,0,22,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,27,3,1,3,0,0,7,1,0,8,2,0,4,3,68,0,0,52,33,0,3,224,0,0
0,0,0,6,7,0,0,10,5,0,0,24,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,27,3,1,3,0,0,8,1,0,8,2,0,5,3,68,0,0,53,33,0,3,223,0,0
0,0,0,6,6,1,0,9,5,1,0,21,2,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,27,3,0,3,0,0,8,0,0,7,3,0,4,3,68,0,0,53,32,0,3,223,0,0
0,0,0,6,6,1,0,11,5,0,0,20,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,27,2,0,3,0,0,8,0,0,8,3,0,6,3,67,0,0,54,34,0,3,222,0,0
0,0,0,6,6,0,0,8,6,0,0,25,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,22,0,26,2,0,3,0,0,11,0,0,8,3,0,9,3,68,0,0,53,34,0,4,221,0,0
0,0,0,6,5,0,0,10,6,1,0,22,2,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,28,2,0,3,0,0,11,0,0,7,3,0,7,3,68,0,0,56,32,0,4,221,0,0
0,0,0,6,5,0,0,11,5,1,0,21,2,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,28,2,0,3,0,0,7,0,0,10,3,0,6,3,69,0,0,54,34,0,3,220,0,0
0,0,0,6,6,0,0,10,5,1,0,22,2,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,27,2,0,2,0,0,7,0,0,9,3,0,7,3,69,0,0,54,35,0,3,219,0,0
0,0,0,6,7,0,0,11,3,1,0,21,2,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,28,2,0,3,0,0,9,0,0,9,3,0,4,4,69,0,0,55,35,0,4,218,0,0
0,0,1,5,5,0,0,9,6,1,0,23,2,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,28,2,0,3,0,0,6,0,0,11,3,0,4,3,69,0,0,58,34,0,4,217,0,0
0,0,1,5,5,0,0,11,6,1,0,20,2,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,29,2,0,2,0,0,8,1,0,10,3,0,5,3,71,0,0,57,33,0,3,216,1,0
0,0,1,5,5,0,0,11,6,1,0,20,2,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,27,2,0,3,0,0,7,1,0,13,3,0,7,3,70,2,0,58,31,0,2,214,2,0
0,0,1,5,5,0,0,10,6,1,0,21,2,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,27,3,0,3,0,0,6,1,0,12,3,0,5,3,70,0,0,61,31,0,2,215,2,0
