C-C,H-C,H-H,O-C,O-H,O-O
48,215,9,119,362,191
48,214,9,121,363,190
48,214,9,120,364,190
48,212,9,122,365,190
48,209,9,122,365,189
48,213,9,123,366,188
48,212,9,123,368,189
48,210,9,123,368,189
48,206,10,123,369,189
48,206,10,123,368,188
48,204,10,123,370,189
48,201,9,123,372,188
48,206,9,123,372,189
48,208,9,126,372,187
47,202,9,126,372,187
48,208,9,125,373,187
47,206,9,124,373,187
47,205,9,125,373,188
45,207,9,125,373,187
46,206,9,125,374,186
46,203,9,125,372,187
46,204,10,126,372,187
45,205,10,126,374,185
44,200,10,126,374,183
44,195,11,127,378,183
44,194,11,127,376,182
44,195,11,128,376,183
44,197,11,128,376,183
44,196,11,128,376,183
44,199,11,130,376,182
44,195,11,130,375,182
44,198,11,130,375,180
44,197,11,130,376,180
44,190,11,130,378,180
43,195,11,130,379,179
44,195,11,130,379,180
44,195,11,130,378,179
44,192,11,130,378,179
44,195,11,130,380,178
44,194,11,130,380,177
44,189,11,130,379,177
44,192,11,130,381,177
44,191,11,131,382,176
44,191,11,131,384,176
44,188,11,131,384,176
44,191,11,131,386,174
44,188,11,131,386,174
44,188,11,131,387,175
44,186,11,132,385,176
44,188,11,133,384,176
44,187,11,133,385,174
44,189,11,133,386,175
44,188,11,134,385,175
44,186,11,134,386,175
44,187,11,134,386,174
44,188,11,134,385,174
44,185,11,134,386,173
44,186,11,134,386,172
44,184,11,134,386,173
44,182,11,134,387,173
45,186,11,135,388,174
44,183,11,136,390,174
44,183,11,135,389,174
44,181,11,137,388,174
44,184,11,137,388,173
44,186,11,138,389,172
43,184,11,138,388,172
44,184,11,138,389,171
44,185,11,138,389,171
44,181,11,138,390,172
44,181,11,138,390,171
44,178,11,138,391,170
44,180,11,138,391,171
44,179,11,139,392,171
43,179,11,139,392,171
44,178,11,139,393,170
44,180,11,139,394,169
44,176,11,139,394,171
44,177,11,139,395,170
44,174,11,139,396,169
43,179,11,139,396,168
43,179,11,139,396,168
44,174,11,138,396,167
44,177,11,140,397,167
43,176,11,140,397,168
44,174,11,140,398,168
43,175,11,139,400,168
44,172,10,140,398,168
44,172,11,139,400,168
43,171,11,141,400,168
44,167,11,142,401,167
43,171,11,142,401,166
