C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,24,70,96,10,6,594,2,560,138
0,20,78,91,11,5,595,3,558,139
0,21,76,92,11,6,594,3,557,140
0,20,75,93,12,2,598,2,555,143
0,21,74,95,10,3,597,2,555,143
0,22,75,92,11,5,595,2,555,143
0,24,71,93,12,5,595,2,556,142
0,21,77,90,12,4,596,2,555,143
0,23,75,90,12,6,594,1,553,146
0,21,78,92,9,6,594,1,555,144
0,23,79,91,7,11,589,1,553,146
0,22,78,89,11,5,595,2,554,144
0,24,82,85,9,10,590,1,555,144
0,23,79,87,11,5,595,1,555,144
0,25,79,86,10,8,592,1,555,144
0,27,83,82,8,13,587,1,552,147
0,26,81,85,8,6,594,2,549,149
0,26,82,85,7,6,594,3,551,146
0,29,77,89,5,11,589,5,549,146
0,28,84,81,7,11,589,4,548,148
0,26,82,85,7,7,593,3,548,149
0,26,83,83,8,5,595,4,546,150
0,27,83,82,8,7,593,3,548,149
0,27,80,85,8,5,595,3,549,148
0,28,80,84,8,6,594,2,548,150
0,27,82,82,9,7,593,3,546,151
0,27,82,83,8,6,594,3,546,151
0,29,79,86,6,2,598,4,543,153
0,29,79,86,6,2,598,2,539,159
0,31,79,84,6,7,593,3,540,157
0,30,80,85,5,5,595,3,540,157
0,28,79,88,5,2,598,7,538,155
0,27,81,86,6,2,598,8,537,155
0,28,83,84,5,3,597,10,535,155
0,28,85,83,4,4,596,8,535,157
0,30,82,84,4,5,595,7,537,156
0,30,83,83,4,6,594,6,537,157
0,27,87,80,6,4,596,6,537,157
0,29,85,79,7,3,597,6,537,157
0,31,87,78,4,11,589,5,536,159
0,28,88,80,4,2,598,5,534,161
0,28,88,80,4,4,596,6,534,160
0,30,86,80,4,5,595,5,535,160
0,29,89,78,4,6,594,5,537,158
0,27,93,77,3,6,594,5,538,157
0,28,91,77,4,6,594,5,541,154
0,27,89,80,4,1,599,5,540,155
0,29,87,80,4,2,598,5,537,158
0,28,88,80,4,2,598,6,540,154
0,29,91,75,5,6,594,7,540,153
0,30,87,79,4,4,596,7,539,154
0,31,85,81,3,6,594,7,538,155
0,29,88,79,4,3,597,9,535,156
0,32,85,77,6,5,595,10,532,158
0,34,82,79,5,8,592,7,535,158
0,32,87,77,4,9,591,9,534,157
0,32,87,77,4,6,594,8,535,157
0,29,93,75,3,2,598,8,532,160
0,32,91,73,4,7,593,8,534,158
0,32,88,77,3,5,595,6,534,160
0,30,92,75,3,4,596,6,535,159
0,29,92,76,3,3,597,6,534,160
0,30,93,74,3,5,595,6,535,159
0,32,88,77,3,5,595,5,534,161
0,32,89,77,2,4,596,6,533,161
0,33,88,77,2,5,595,6,533,161
0,31,94,73,2,4,596,8,536,156
0,33,91,74,2,4,596,7,535,158
0,35,93,71,1,10,590,8,534,158
0,36,89,73,2,5,595,6,534,160
0,34,98,67,1,5,595,6,532,162
0,33,97,68,2,3,597,6,532,162
0,36,94,69,1,7,593,9,532,159
0,35,94,69,2,4,596,8,532,160
