Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
80,0,24,322,2851,403,228,147,194,306,64,116,97,6,4026,0,750,1794
81,0,24,318,2850,408,228,143,203,297,67,118,96,6,4026,0,750,1794
82,0,24,320,2849,407,226,147,197,301,72,114,95,6,4026,0,751,1793
83,0,24,317,2856,403,226,147,197,305,65,118,94,6,4026,0,748,1796
84,0,24,324,2854,398,229,145,198,301,62,125,92,6,4026,0,747,1797
85,0,23,320,2849,408,230,143,201,301,62,117,98,5,4027,0,748,1796
86,0,24,314,2850,412,228,140,207,298,64,126,89,5,4027,0,751,1793
87,0,23,306,2860,411,229,145,203,295,62,121,97,4,4028,0,754,1790
88,0,25,308,2858,409,233,143,200,292,69,122,93,5,4027,0,753,1791
89,0,26,308,2857,409,230,144,201,296,64,122,95,5,4027,0,754,1790
90,0,26,313,2859,402,228,151,190,302,64,128,89,5,4027,0,749,1795
91,0,26,311,2869,394,225,158,193,295,61,129,91,6,4026,0,743,1801
92,0,27,312,2867,394,228,151,196,293,66,135,83,6,4026,0,745,1799
93,0,27,311,2869,393,225,150,205,285,73,126,88,8,4024,0,747,1797
94,0,26,314,2866,394,236,139,203,293,65,119,97,11,4021,0,752,1792
95,0,26,313,2863,398,227,149,206,288,66,122,94,7,4025,0,753,1791
96,0,27,310,2868,395,227,144,209,290,66,127,89,7,4025,0,749,1795
97,0,27,309,2875,389,223,154,202,294,64,122,93,6,4026,0,752,1792
98,0,27,308,2872,393,227,147,205,292,65,124,92,6,4026,0,754,1790
99,0,27,312,2873,388,224,158,189,303,65,117,96,9,4023,0,751,1793
100,0,26,313,2871,390,224,149,202,303,61,124,89,9,4023,0,754,1790
101,0,27,311,2879,383,229,151,196,291,68,130,87,10,4022,0,754,1790
102,0,28,311,2881,380,225,157,197,294,63,127,89,8,4024,0,753,1791
103,0,28,310,2880,382,228,148,205,285,77,123,86,9,4023,0,755,1789
104,0,28,314,2873,385,231,143,205,293,69,116,95,10,4022,0,747,1797
105,0,29,314,2876,381,225,156,192,298,67,127,87,12,4020,0,746,1798
106,0,29,314,2877,380,226,156,193,298,64,122,93,10,4022,0,748,1796
107,0,29,314,2875,382,229,147,197,302,64,126,87,6,4026,0,747,1797
108,0,29,313,2879,379,227,154,195,296,62,130,88,9,4023,0,745,1799
109,0,30,315,2878,377,228,157,190,296,64,129,88,8,4024,0,748,1796
110,0,30,314,2878,378,233,142,200,298,70,117,92,8,4024,0,749,1795
111,0,30,313,2871,386,232,144,199,301,62,125,89,6,4026,0,755,1789
112,0,30,314,2873,383,228,153,195,301,62,120,93,5,4027,0,752,1792
113,0,33,306,2878,383,228,142,214,292,65,118,93,5,4027,0,756,1788
114,0,34,310,2870,386,230,151,195,295,67,125,89,4,4028,0,751,1793
115,0,33,312,2870,385,225,156,199,292,66,123,91,3,4029,0,751,1793
116,0,33,310,2873,384,228,153,199,294,68,114,96,5,4027,0,756,1788
117,0,33,307,2875,385,225,154,202,296,64,116,95,4,4028,0,754,1790
118,0,32,310,2878,380,228,155,196,294,65,122,92,4,4028,0,747,1797
119,0,33,308,2879,380,229,152,199,294,59,125,94,5,4027,0,748,1796
120,0,33,308,2887,372,228,149,204,288,68,125,90,5,4027,0,745,1799
121,0,32,309,2887,372,227,150,203,294,64,128,86,5,4027,0,750,1794
122,0,33,310,2887,370,227,149,203,296,65,122,90,4,4028,0,749,1795
123,0,33,313,2889,365,233,143,201,296,64,130,85,6,4026,0,751,1793
124,0,34,313,2881,372,225,150,206,296,62,126,87,6,4026,0,749,1795
