Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
346,0,56,319,2868,357,243,147,205,285,89,101,82,5,4027,0,746,1798
347,0,56,323,2867,354,234,167,202,272,85,107,85,8,4024,0,743,1801
348,0,56,324,2862,358,237,164,205,274,78,109,85,6,4026,0,745,1799
349,0,56,325,2862,357,242,150,217,271,81,106,85,4,4028,0,747,1797
350,0,56,321,2865,358,240,161,201,273,75,123,79,4,4028,0,742,1802
351,0,56,319,2861,364,235,163,203,282,75,116,78,4,4028,0,746,1798
352,0,56,319,2862,363,243,150,210,276,78,113,82,4,4028,0,745,1799
353,0,57,319,2858,366,235,160,205,285,71,118,78,5,4027,0,749,1795
354,0,57,317,2866,360,240,154,203,282,78,118,77,6,4026,0,743,1801
355,0,58,317,2862,363,240,157,207,272,79,120,77,6,4026,0,743,1801
356,0,58,316,2862,364,239,158,208,280,72,115,80,5,4027,0,748,1796
357,0,58,315,2864,363,235,171,198,274,77,116,81,5,4027,0,748,1796
358,0,58,313,2866,363,236,164,204,278,73,118,79,4,4028,0,750,1794
359,0,57,314,2865,364,240,158,210,272,76,118,78,4,4028,0,752,1792
360,0,59,312,2867,362,240,154,204,283,83,108,80,5,4027,0,748,1796
361,0,59,311,2870,360,240,160,199,281,79,111,82,6,4026,0,751,1793
362,0,59,311,2869,361,242,158,208,268,77,119,80,9,4023,0,752,1792
363,0,59,309,2868,364,239,151,225,262,83,108,84,5,4027,0,751,1793
364,0,59,309,2870,362,238,162,196,286,74,115,81,5,4027,0,751,1793
365,0,59,312,2865,364,236,163,205,276,80,111,81,5,4027,0,753,1791
366,0,59,309,2867,365,242,152,204,284,81,111,78,6,4026,0,749,1795
367,0,59,309,2868,364,243,156,203,277,77,118,78,7,4025,0,751,1793
368,0,59,307,2865,369,239,166,193,279,87,106,82,4,4028,0,751,1793
369,0,59,309,2864,368,243,163,188,279,82,120,77,6,4026,0,753,1791
370,0,59,310,2867,364,242,160,198,278,80,114,80,5,4027,0,745,1799
371,0,59,310,2866,365,239,154,210,278,84,104,83,5,4027,0,748,1796
372,0,58,308,2870,364,238,167,197,277,79,106,88,7,4025,0,749,1795
373,0,58,308,2874,360,238,164,205,269,75,127,74,9,4023,0,749,1795
374,0,58,308,2873,361,242,155,211,270,69,130,75,11,4021,0,749,1795
375,0,58,308,2877,357,251,146,194,285,77,125,74,10,4022,0,751,1793
376,0,58,309,2874,359,241,161,198,279,84,105,84,7,4025,0,746,1798
377,0,58,310,2872,360,240,152,211,285,74,107,83,9,4023,0,749,1795
378,0,58,310,2871,361,240,154,208,280,75,115,80,9,4023,0,749,1795
379,0,58,310,2870,362,235,161,209,272,85,109,81,10,4022,0,752,1792
380,0,58,310,2873,359,245,149,213,269,78,114,84,10,4022,0,749,1795
381,0,58,311,2878,353,234,157,211,280,79,115,76,9,4023,0,747,1797
382,0,58,310,2878,354,251,142,208,280,74,115,82,8,4024,0,747,1797
383,0,58,308,2883,351,240,159,204,279,71,120,79,8,4024,0,747,1797
384,0,58,309,2893,340,245,151,207,278,81,108,82,10,4022,0,748,1796
385,0,59,312,2890,339,239,158,207,278,78,113,79,8,4024,0,744,1800
386,0,59,308,2893,340,238,163,200,281,72,118,80,8,4024,0,746,1798
387,0,59,308,2890,343,238,158,213,268,84,109,82,9,4023,0,749,1795
388,0,59,307,2891,343,239,161,207,271,74,116,84,8,4024,0,746,1798
389,0,59,307,2891,343,239,164,195,278,86,109,81,10,4022,0,749,1795
390,0,59,304,2895,342,235,165,203,275,82,109,83,12,4020,0,749,1795
391,0,60,309,2892,339,232,174,192,282,84,106,82,12,4020,0,746,1798
392,0,60,309,2892,339,237,163,200,278,85,106,83,14,4018,0,747,1797
393,0,60,308,2891,341,235,161,206,274,88,108,80,14,4018,0,744,1800
394,0,60,306,2889,345,240,156,203,282,82,105,84,12,4020,0,750,1794
395,0,61,307,2888,344,232,164,209,282,76,99,90,12,4020,0,748,1796
396,0,61,306,2887,346,239,157,212,270,83,112,79,11,4021,0,744,1800
397,0,61,301,2896,342,241,147,222,270,76,118,78,11,4021,0,747,1797
398,0,61,303,2885,351,238,163,205,276,77,106,87,11,4021,0,752,1792
399,0,61,304,2882,353,247,149,208,274,73,128,73,9,4023,0,753,1791
400,0,61,305,2880,354,240,163,203,273,77,115,81,7,4025,0,749,1795
