hash,formula,smiles,total_connections,precursors,derivatives
2751761918,C217H558O1588Fe859,[H][O][Fe][O][Fe]([O][H])[O][Fe][O][Fe][O][Fe]([O][H])[O][Fe]1234[O][Fe]([O][Fe]5[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]67([O][Fe][O][H])[O][Fe][O][Fe]8([O][H])([O][Fe])([O]5)[O][Fe]([O][Fe])([O][Fe]59([O][Fe]([O][Fe][O][H])[O][Fe]%10[O][Fe][O][Fe]([O][H])[O][Fe]%11%12%13[O][Fe]([O][H])[O][Fe]%14[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])[O][H])([O][Fe]([O][H])[O][Fe]%15([O][H])([O][Fe])([O]%14)[O][Fe]([O][Fe])([O]%11)([O][Fe]%11([O][Fe]([O][H])[O][Fe]%14([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%14)([O][Fe]([O][Fe][O][H])[O][Fe][O][Fe][O][Fe]([O][H])[O][Fe]%14%16%17[O][Fe]([O][H])[O][Fe]%18[O][Fe]([O][H])[O][Fe]([O][Fe][O][Fe][O][Fe]%19%20([O]%14)[O][Fe]%14([O][Fe]([O][Fe][O][H])[O][Fe]%21([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%21)([O][Fe]([O][Fe][O][H])[O][Fe]%21[O][Fe][O][Fe]([O][H])[O][Fe]%22%23([O][H])[O][Fe]([O][H])[O][Fe]%24[O][Fe]([O][H])[O][Fe]%25[O][Fe][O][Fe][O][Fe]%26%27([O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])([O][H])([O][H])[O][Fe][O][Fe])[O][Fe]([O][Fe][O][H])[O][Fe]%28[O][Fe][O][Fe]([O][H])[O][Fe]%29%30([O][H])[O][Fe]([O][H])[O][Fe]%31[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])([O][Fe])([O][Fe]([O][H])[O][Fe]%32%33([O][Fe])([O][Fe]%34[O][Fe][O][Fe]([O][H])[O][Fe]%35%36%37[O][Fe]([O][H])[O][Fe]%38[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%39%40([O][Fe][O]C([H])C([H])=C([H])C(=C([H])C([H])[H])C([H])([H])[H])[O][Fe]([O][H])[O][Fe]%41%42([O][Fe])([O][Fe]%43[O][Fe][O][Fe]([O][H])[O][Fe]%44%45%46[O][Fe]([O][H])[O][Fe]%47[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])([O][Fe])([O][Fe][O][H])[O][Fe]%48%49%50[O][Fe]([O][H])[O][Fe][O][Fe]%51[O][Fe]([O][Fe][O][H])[O][Fe]%52%53([O][Fe]([O][Fe][O][H])[O][Fe]%54([O][H])([O][H])[O][Fe]([O][Fe])[O]%54)[O][Fe]%54%55([O][Fe][O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]([O][Fe]([O][H])[O]%48)[O][Fe]%48([O][Fe])([O][Fe]%56[O][Fe][O][Fe]([O][Fe])[O][Fe]%57([O][Fe][O][H])[O][Fe]%58%59([O][Fe]([O][Fe][O][H])[O][Fe]%60([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%60)[O][Fe]([O][Fe][O][H])[O][Fe]%60[O][Fe][O][Fe]([O][H])[O][Fe]%61%62([O][Fe][O][H])[O][Fe]%63%64([O][Fe])[O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])[O]%58)([O]%63)[O][Fe]%58%63%65([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]%66%67%68%69[O][Fe][O][Fe]%70([O][Fe])[O][Fe]([O][H])[O][Fe]%71[O][Fe]([O][H])[O][Fe]%72[O][Fe]([O][H])[O][Fe]%73%74([O][Fe]([O][H])[O]%70)[O][Fe]%70%75([O][Fe])[O][Fe]%76([O][Fe])([O][Fe]%77[O][Fe][O][Fe]([O][H])[O][Fe]%78%79%80[O][Fe]([O][H])[O][Fe]%81[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%82%83([O][Fe])[O][Fe]([O][H])[O][Fe]%84([O][Fe])([O]%28)([O]%81)[O][Fe]([O][Fe])([O]%78)([O][Fe]%28%78([O][Fe]%81[O][Fe]([O][H])([O][H])([O][Fe])[O][Fe][O][Fe]%85%86([O][H])([O][Fe])[O][Fe]([O][H])[O][Fe]%87([O][Fe][O][Fe]([O][H])[O][Fe]([O][Fe])([O][Fe]([O][H])[O][Fe])([O][Fe]([O][H])([O][Fe][O][Fe]%88([O][H])([O][H])[O][Fe]([O][Fe])[O]%88)[O]6)[O]7)([O][Fe][O][Fe]6[O][Fe]7([O][H])([O][H])([O]C=C=CC(=C([H])[H])C%88=C(O)C([H])=C([H])C(=C([H])C(C([H])([H])[H])C%89=C([H])C(=C([O][Fe])C([H])=C%89[H])[O][Fe]%89([O][H])([O][H])([O][H])[O][Fe]%90([O][Fe])[O][Fe]%91%92([O][Fe][O][Fe]([O][Fe])[O][Fe]%93([O][Fe]([O][H])[O][Fe])[O][Fe][O][Fe]%94([O][Fe][O][Fe]%95([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%95)([O][Fe]([O][Fe][O][H])[O][Fe][O][Fe][O][Fe]([O][H])[O][Fe]%95%96%97[O][Fe]([O][H])[O][Fe]%98[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])([O][Fe][O]C=C%99C([H])C([H])=C([H])C([H])=C%99[H])([O][Fe]([O][H])[O][Fe]%99%(100)([O][Fe])([O][Fe]%(101)[O][Fe][O][Fe]([O][H])[O][Fe]%(102)%(103)%(104)[O][Fe]([O][H])[O][Fe]([O][H])[O][Fe]%(105)%(106)([O][H])([O][H])[O][Fe]([O][Fe]([O][H])[O][Fe][O][H])[O][Fe][O][Fe]([O][H])[O][Fe]%(107)([O][H])([O][Fe][O][H])[O][Fe]%(108)%(109)([O][Fe][O][H])[O][Fe]([O][Fe][O][H])[O][Fe][O][Fe][O][Fe]%(110)[O][Fe]%(111)%(112)([O][Fe]([O][H])[O][Fe]([O][H])([O][H])([O][H])([O][H])[O][Fe][O][Fe])[O][Fe]([O][Fe][O][H])[O][Fe]%(113)[O][Fe][O][Fe]([O][H])[O][Fe]%(114)%(115)([O][Fe][O][H])[O][Fe]%(116)([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])[O][Fe]([O][H])[O][Fe]%(117)%(118)([O][Fe]([O][Fe])([O]%57)([O]%59)[O]%(117))[O][Fe]%57%59%(117)([O][Fe])[O][Fe][O][Fe]%(119)([O][Fe])[O][Fe]([O][H])[O][Fe]([O][H])[O][Fe]%(120)%(121)%(122)[O][Fe][O]C(=C([H])C([H])=C%(123)C([H])C(C([H])([H])[H])=C([H])C([H])=C%(123)[H])[O][Fe]([O]%(120))[O][Fe]%(120)%(123)%(124)([O][Fe])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]([O][H])([O][Fe]([O][H])[O]%(119))[O][Fe]([O][Fe])([O][Fe]%(119)%(125)([O][Fe]%(126)([O][H])([O][Fe][O][H])[O][Fe]%(127)[O][Fe]([O][H])[O][Fe]%(128)[O][Fe]([O][H])[O][Fe]%(129)%(130)%(131)[O][Fe]([O][H])[O][Fe]([O][Fe])([O][Fe][O][Fe]%(132)([O][H])([O][Fe])([O][Fe]([O][H])[O][Fe]%(133)([O][Fe][O][H])([O][Fe]([O][H])([O][H])[O]%57)([O]%(118))[O][Fe]([O][Fe]([O][Fe][O][H])([O]%71)([O][Fe]([O][H])[O]%76)[O]%(129))([O]%(130))([O][Fe]%57([O][Fe])([O]%(131))[O][Fe]([O][Fe])([O][Fe]%71[O][Fe][O][Fe]([O][H])[O][Fe]%76([O]%82)[O][Fe]([O][Fe]([O][H])[O][Fe]%82([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%82)([O][Fe]([O][Fe][O][H])[O]%77)([O]%83)[O][Fe]%77([O][Fe])([O]%76)[O][Fe]%76([O][Fe])([O]%21)([O][Fe]([O][Fe]([O][H])[O][H])[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%21([O][Fe][O][H])([O][Fe]([O][H])[O]%76)[O][Fe]%76([O][Fe]([O][Fe][O][H])[O][Fe]%82([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%82)([O][Fe]([O][Fe][O][H])[O]%71)[O][Fe]%71%82([O][Fe])[O][Fe]%83([O][H])([O][Fe])([O][Fe]%(118)[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%(129)([O][Fe][O][H])([O][Fe]([O][H])[O]%83)[O][Fe]%83%(130)%(131)[O][Fe]([O][Fe])[O][Fe][O][Fe]%(134)[O][Fe]([O][Fe][O][H])[O][Fe]%(135)%(136)([O][Fe]([O][Fe][O][H])[O][Fe]%(137)([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%(137))[O][Fe]([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]([O][Fe]([O][H])[O]%83)[O][Fe]%83([O][Fe])([O][Fe]([O][H])[O][H])([O]%10)[O][Fe]([O][Fe])([O]%(130))([O][Fe]([O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])[O][H])[O][Fe]%10([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%10)([O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe][O][Fe]([O][H])[O][Fe]%10([O][Fe]([O]%(118))[O]%10)([O]%21)([O]%76)[O]%71)[O]%(120))([O]%(129))[O]%(131))[O]%83)[O][Fe]%10%21([O][Fe]([O][H])[O][Fe][O][Fe]%71([O][Fe][O][Fe]%76[O][Fe]([O][H])[O][Fe]([O][Fe])([O][Fe]([O][H])[O][H])[O][Fe][O][Fe]%83%(118)%(120)([O][Fe])[O][Fe]([O][H])[O][Fe]%(129)%(130)([O][H])([O][Fe][O][H])[O][Fe]([O][H])([O][Fe]([O][H])[O][H])[O][Fe]%(131)%(137)([O][H])([O][Fe])[O][Fe][O][Fe]%(138)([O][Fe])[O][Fe]([O][H])[O][Fe]%(139)([O][H])([O][Fe]([O][H])[O][Fe])[O][Fe]%(140)([O][Fe][O]CC%(141)=C([H])C([H])C([H])=C([H])C%(141)[H])([O]%76)[O][Fe]([O][H])[O][Fe]%76%(141)([O][Fe])([O][Fe]([O][H])[O][Fe]%(142)[O][Fe]%(143)%(144)([O]%(142))[O][Fe]%(142)([O][Fe][O][H])([O][Fe]%(145)[O][Fe]([O][H])[O][Fe]%(146)[O][Fe]([O][H])[O][Fe]%(147)%(148)([O][Fe]%(149)[O][Fe]([O][Fe]([O][Fe])([O][Fe]([O][H])[O]%(145))[O]%(149))[O][Fe]%(145)%(149)([O][Fe])([O][Fe]([O]C)[O][Fe]%(150)([O][Fe][O][H])([O][Fe]([O][H])([O][H])[O]%83)([O][Fe]([O][H])([O][Fe]([O][H])[O]%(108))([O]%(110))[O]%(118))[O][Fe]([O]%(121))([O]%(147))([O][Fe]%83([O][Fe])([O]%(148))[O][Fe]([O][Fe])([O]%(134))([O]%(146))([O][Fe]([O][H])[O]%(142))[O]%83)([O]%(145))[O]%(150))[O][Fe]([O][H])([O][H])[O][Fe]([O][Fe][O][H])([O][Fe]([O][H])[O]%59)([O]%(119))([O]%(125))[O][Fe]%59([O][Fe]([O][H])[O][Fe]([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])([O][Fe]([O][H])([O][Fe][O][H])([O][Fe]([O][H])[O][Fe][O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%83([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%83)([O][Fe]([O][Fe])[O][Fe]([O][H])[O][Fe]([O][H])[O][Fe]%83([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])[O][Fe]%(108)([O][Fe][O][Fe]%(110)([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%(110))[O][Fe][O][Fe]([O][Fe][O][H])([O][Fe]([O][H])[O][Fe][O][Fe]%(110)%(118)([O][Fe][O][Fe]%(119)[O][Fe]([O][H])([O][H])([O][H])([O][Fe]([O][Fe][O][H])[O][Fe]%(121)([O][Fe]([O][Fe]([O][H])[O][Fe][O][Fe]%(125)([O][H])([O][Fe])([O][Fe][O][Fe]%(134)([O][H])([O][H])([O][Fe])[O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])[O][H])([O]%61)([O]%(121))([O]%(125))[O]%(134))[O][Fe]([O][Fe]([O][Fe]%61([O][Fe]([O][H])[O]%(131))([O][Fe]([O][H])([O][H])([O][H])([O][Fe]([O][Fe]%(121)%(125)([O][H])([O][Fe])[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])([O][Fe][O][Fe]%(131)[O][Fe]([O][H])([O][H])([O][H])([O][Fe]([O][Fe][O][H])[O]%28)[O]%(131))([O]%81)[O][Fe]([O][Fe])([O]%(121))[O][Fe]%28([O][H])([O][H])([O][H])[O][Fe]([O][Fe][O][H])([O]%73)([O]%(125))([O]%28)[O][Fe]([O]%70)([O]%74)([O]%66)([O]%58)[O]%63)[O]%67)[O]%68)[O][Fe]([O][Fe])([O]%(139))([O]%(140))([O]%61)[O]%(137))[O]%69)[O]%(138))[O]%(110))([O]%64)[O]%62)[O]%(119))[O][Fe]([O][H])[O][Fe]%28%58([O][H])([O][Fe])[O][Fe][O][Fe]([O][H])([O][H])[O][Fe]([O][H])[O][Fe]%61([O][Fe][O][Fe][O][Fe]([O][H])([O][H])([O][H])([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]%62([O][Fe])([O]%44)[O][Fe]([O][H])([O][Fe])([O]%60)([O]%47)[O]%62)([O]%45)[O][Fe]%44([O][Fe][O][H])([O]%46)([O]%28)[O][Fe]([O][H])([O][H])([O][H])([O][Fe]([O][Fe])([O]%(118))[O]%58)[O]%44)([O][Fe][O][Fe]([O][H])[O][Fe]%28([O][Fe])([O][Fe]([O][H])[O][Fe])[O][Fe]([O][H])([O][Fe][O][Fe]%44([O][H])([O][H])([O][Fe][O][H])[O][Fe]([O][Fe])[O]%44)([O][Fe]([O][Fe][O][H])[O]%(101))[O][Fe]([O][Fe][O][H])([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])[O]%28)[O][Fe]([O][H])[O][Fe]%28([O][H])([O][Fe])([O][Fe][O][Fe]([O][H])[O][H])[O][Fe]([O][Fe])([O]%61)[O][Fe]%44([O][H])([O][H])([O][Fe]([O][H])[O][H])[O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])[O][H])([O]%35)([O][Fe]([O][Fe]([O][H])[O]%91)([O][Fe]([O][Fe][O][H])[O][Fe]%35([O][H])([O][H])([O][H])[O][Fe]([O][Fe][O]%92)[O]%35)([O][Fe]([O][Fe])([O]%36)([O]%41)[O]%42)[O]%37)([O]%28)[O]%44)([O]%(108))[O]%83)([O]%(107))[O]%(109))[O][Fe]%28%35%36([O][Fe])[O][Fe]%37[O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%41([O][Fe][O]C(=C%42C([H])C(C([H])=O)=C(C([H])=O)C([H])=C%42[H])[O][Fe]([O]%41)[O]%28)([O]%(102))[O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%28([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%28)([O][Fe]([O][Fe][O][H])[O][Fe]%28%41[O][Fe][O][Fe]([O][H])[O][Fe]%42%44([O][Fe]([O][H])[O]%37)[O][Fe]%37%45([O][Fe][O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]%46[O][Fe]([O][H])[O][Fe]([O][Fe]([O][Fe])[O][Fe][O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%47([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%47)([O]%37)([O]%42)[O][Fe]([O][Fe])([O]%44)([O]%35)[O]%36)[O][Fe]%35%36%37([O][Fe])[O][Fe][O][Fe]([O][H])[O][Fe]([O][Fe][O][H])[O][Fe]%42([O][Fe][O][H])([O][Fe][O]%35)[O][Fe]%35%44%47[O][Fe]([O][H])[O][Fe][O][Fe][O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%58([O][H])([O][H])[O][Fe]([O][Fe])[O]%58)([O][Fe]([O][Fe]([O][H])[O][Fe]([O][H])([O][H])[O][H])([O][Fe]([O][H])[O][Fe]%58([O][Fe])([O][Fe]([O][Fe]([O][Fe]([O][H])[O][Fe][O][H])[O]%28)[O][Fe]([O][H])[O]%35)([O]%41)[O][Fe]([O][Fe])([O]%44)([O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%28([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%28)([O][Fe]([O][Fe])[O][Fe]([O][Fe][O][Fe]([O][H])[O][Fe]%28%35%41([O][Fe]([O][H])[O]%28)[O][Fe]%28([O][Fe][O][H])([O][Fe]([O][Fe][O][H])[O][Fe][O][H])[O][Fe][O][Fe]%44([O][H])([O][Fe])([O]%51)[O][Fe]%51([O][H])([O][Fe]([O][Fe]([O][H])[O][Fe][O][H])([O][Fe]([O][Fe])[O][Fe][O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]%60([O][H])([O][H])([O][H])[O][Fe]([O][Fe])[O]%60)([O]%28)([O][Fe]([O][H])([O]%36)([O]%37)[O]%35)[O]%41)[O][Fe]([O][Fe])([O]%24)([O][Fe]([O][H])[O][Fe]([O][Fe][O][H])([O]%25)([O]%16)[O]%14)([O]%26)[O]%27)([O]%39)[O][Fe]([O][Fe]%14[O][Fe][O]C%16C([H])=C([H])C(=C([H])C%24=C([H])C([H])=C([H])C([H])=C%24[H])C([H])=C%16[O][Fe]%16([O][H])([O][H])([O]%14)[O][Fe]([O][Fe])[O]%16)([O][Fe]([O][Fe][O][H])[O]%34)([O]%40)[O]%51)[O]%44)[O][Fe]([O][Fe])([O][Fe]([O][H])[O][H])([O]%18)([O]%19)[O]%20)([O]%42)[O]%47)[O]%58)[O]%95)([O]%96)[O][Fe]([O][Fe])([O]%97)([O]%99)[O]%(100))([O]%54)([O]%52)[O][Fe]%14([O][Fe])([O]%53)[O][Fe]([O][Fe])([O]%(113))([O]%46)([O][Fe]([O]C=C=C(C([H])=C=C=O)C%16=C([H])C([H])C%18=C%16C([H])C([H])([H])C([H])=C%18[H])[O]%45)[O]%14)([O]%(103))[O][Fe]([O][Fe])([O]%(104))([O]%(105))[O]%(106))[O]%(111))[O]%(112))([O][Fe]([O][Fe])([O]%(114))([O][Fe]([O][Fe]([O][Fe][O]C=C%14C([H])=C%16C(=C([H])C([H])=C(C=C=C=C=C=O)C%16=C%16C([H])C%18=C=C(C%19=C([H])C(=C(C([H])[H])C%20=C([H])C([H])([H])C(=O)C([H])=C%20[H])C([H])C(C([H])=C([H])C([H])C([H])([H])[H])=C%19[H])C([H])=C%19C([H])C([H])=C([H])C%20C%19=C%18C%18=C%20C([H])=C(O)C([H])=C%16%18)C([H])=C%14C=C=C=C([H])[H])[O][Fe]([O][H])([O][H])([O][H])[O][Fe][O][Fe])([O][Fe]([O][Fe][O][H])[O]%56)([O]%(116))[O]%(115))[O]%59)[O]%(149))[O]%(122))[O][Fe]([O]%(143))([O][Fe]([O][Fe])([O]%(144))([O]%76)[O]%(141))([O]%(120))([O]%(129))[O]%(130))[O]%71)[O][Fe]([O][Fe][O][Fe])[O][Fe]%14([O][Fe][O][Fe]%16([O][H])([O][H])[O][Fe]([O][Fe])[O]%16)[O][Fe][O][Fe]([O][Fe][O][H])([O][Fe]([O][H])[O][Fe])([O]%14)[O][Fe]%14([O][H])([O][Fe][O][H])[O][Fe]([O][Fe][O][H])[O][Fe]([O][H])[O][Fe]([O][Fe]([O][H])[O]%10)[O][Fe]%10([O][H])([O][Fe])([O][Fe]([O]C%16C(=O)C([H])=C([H])C(=C%16[O][Fe]([O][H])([O][H])[O][H])C(=C=C([H])[H])C%16=C%18[O][Fe]%19([O][H])([O][H])([O][Fe]([O][Fe][O]C%18=C([H])C(C%18C(=O)C([H])=C([H])C(C(=C([H])C%20=C([H])C(C(C([H])=C%24C([H])C([H])=C(O)C([H])=C%24C([H])([H])C([H])=C=O)=C([H])C(O)=C%24C([H])C([H])=C(C%25=C([H])C%26=C([H])C(=O)C([H])=C([H])C%26=C(C%26=C([H])C([H])=C(O[H])C([H])=C%26[H])C%25([H])[H])C([H])=C%24[H])=C([H])C([H])=C%20O)C([H])([H])[H])=C%18[H])=C%16[H])[O]5)[O][Fe]([O][Fe])[O]%19)[O]%14)[O][Fe]([O][Fe])([O]%21)([O]%(135))[O]%10)[O]%(136))[O]%82)[O]%77)([O]%(128))([O][Fe]([O][H])[O]%(126))[O]%57)([O]%(132))[O]%(133))[O][Fe]([O][H])([O][H])[O]%65)[O][Fe]([O][H])[O]%(127))[O]%(117))([O]%(123))[O]%(124))[O]%98)[O]%94)[O]%93)[O][Fe]([O][H])[O][Fe]5([O][H])([O][Fe])([O][Fe][O][Fe]([O][H])([O][H])[O][Fe]([O][Fe]([O][Fe]([O][Fe][O][H])[O]7)([O][Fe]([O][Fe][O][H])([O]%29)([O]%89)[O]5)[O][Fe]([O][Fe])([O]%30)([O]%32)[O]%33)[O]%87)[O]%90)C%88[H])[O]6)[O][Fe]([O][Fe])([O]%85)[O][Fe]5([O][H])([O][H])([O][H])[O][Fe]([O][Fe][O][H])([O]%79)([O]%78)([O]%86)[O]5)[O]%80)[O]%84)([O]%72)[O]%75)([O][Fe]([O][H])[O]%55)[O][Fe]([O][Fe])([O][Fe]([O][Fe]([O][Fe][O][H])[O][Fe]5([O][H])([O][H])([O][Fe])[O][Fe]([O][Fe])[O]5)([O][Fe]([O][Fe][O][H])[O]%43)[O]%49)([O]%50)[O]%48)[O]%38)[O]%31)[O]%22)[O]%23)[O]%17)[O][Fe]([O][Fe][O]C5=C(O[H])C([H])=C([H])C([H])=C5[O][Fe]([O][H])([O][H])[O][H])([O]%12)[O]%11)[O]%13)[O]%15)([O]9)[O]1)[O]2)([O]8)[O]3)[O]4,2,0,2
680709368,C7H7,[H]CC1=C([H])C([H])=C([H])C([H])([H])C1[H],2,1,1
3371522979,C19H15O2,[H]C([H])C1=C([H])C([H])C(C([H])=C(C([H])[H])C([H])=O)=C(C([H])=C2C(C([H])=O)C([H])=C([H])C([H])=C2[H])C1[H],1,0,1
2595441529,C14H13O2,[H]C1=C([H])C(=C(C([H])([H])[H])C2([H])C([H])=C([H])C(O)=C([H])C2([H])[H])C([H])=C([H])C1=O,1,1,0
4040398113,C32H23O8Fe,[H][O][Fe]([O][H])([O][H])([O][H])[O]C1=C([H])C2=C(C([H])=C1[H])C1=C([H])C([H])C(O)=C([H])C1=C1C([H])C(=O)C([H])(C3=C([H])C([H])=C(C(=C([H])[H])C4=C([H])C([H])=C(O)C([H])=C4[H])C([H])=C3[H])C([H])=C12,1,1,0
2678906043,C21H25,[H]C1C([H])=C([H])C([H])C(C([H])([H])C([H])=C([H])C([H])=C([H])C([H])C([H])=C(C([H])([H])[H])C([H])(C([H])[H])C([H])([H])C(C([H])[H])=C([H])[H])=C1[H],1,0,1
744421229,C35H26O4,[H]C=C(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C(C([H])([H])C([H])C([H])=C([H])C([H])C2([H])C([H])=C(C(=O)C([H])=C([H])C=O)C([H])=C2C2=C([H])C([H])C(=O)C([H])=C2C([H])([H])[H])=C(O)C([H])=C1[H],1,1,0
4081164375,C23H13O3,[H]C1C([H])=C2C(C([H])=C1O)C(C([H])=C=O)=C1C(C([H])[H])=C(C([H])[H])C(=C3C(=O)C([H])=C([H])C([H])=C3[H])C1=C2[H],1,1,0
1236329252,C6H9,[H]C([H])C([H])=C([H])C([H])=C([H])C([H])([H])[H],1,1,0
3503385348,C8H9O3,[H]C(=O)C([H])([H])C([H])=C(C([H])=C([H])C(O)=O)C([H])([H])[H],1,0,1
