Frame,H,H2N,H2N2O,H2N2O2,H2N2O4,H2N3O,H2N3O2,H2N3O3,H2N3O4,H2N3O5,H2N4O2,H2N4O3,H2N4O4,H2N4O5,H2N4O6,H2N4O7,H2N5O4,H2N5O5,H2N5O7,H2N5O8,H2N5O9,H2N6O5,H2N6O8,H2N8O11,H2NO,H2NO2,H2NO3,H2O,H2O2,H3N,H3N13O15,H3N2O,H3N2O2,H3N2O4,H3N3,H3N3O,H3N3O2,H3N3O4,H3N4O2,H3N4O3,H3N4O4,H3N4O5,H3N4O6,H3N6O4,H3N7O7,H3N7O8,H3N8O11,H3NO,H3NO2,H4N,H4N13O15,H4N2O,H4N2O4,H4N3O2,H4N4O3,H4N4O4,H4N4O7,H4N7O8,H4NO,H4NO2,H5N13O15,H5N2O,H6N2O,H6N5O7,H7N14O15,HN,HN12O15,HN2O,HN2O3,HN2O4,HN3O,HN3O2,HN3O3,HN3O4,HN3O5,HN3O6,HN4O2,HN4O3,HN4O4,HN4O5,HN4O7,HN5O3,HN5O5,HN5O8,HN6O7,HN6O8,HN8O11,HN9O11,HNO,HNO2,HNO3,HNO4,HO,HO2,N,N12O15,N2,N2O,N2O3,N2O4,N3,N3O,N3O2,N3O3,N3O4,N3O5,N3O6,N4O,N4O6,N5O2,N5O3,N5O4,N5O5,N5O8,N6O2,N6O7,N6O8,N6O9,N7O5,N8O8,N8O9,N9O11,NO,NO2,O,O2
11,3,9,0,1,0,2,0,0,0,1,1,3,5,1,1,0,0,0,0,0,0,0,0,0,1,3,1,74,0,149,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,4,0,0,0,0,0,1,0,0,14,1,0,1,1,0,0,1,0,6,0,0,0,1,7,4,18,0,0,0,0,0,0,0,3,1,0,1,0,1,3,17,2,1,3,0,0,0,30,18,4,0,0,0,3,21,48,2,0,0,1,0,1,0,10,0,0,0,1,0,0,0,0,0,0,45,0,0
12,3,3,0,1,0,0,0,0,1,1,0,3,4,1,1,1,0,0,0,0,0,0,1,0,0,1,2,71,0,156,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,5,0,0,0,1,6,4,20,0,1,0,0,0,0,0,2,1,0,1,0,0,4,13,2,1,1,0,0,1,30,20,4,0,0,0,2,21,42,1,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,1,49,0,0
13,1,9,0,2,0,0,0,0,1,1,0,4,6,1,1,0,0,0,0,1,0,0,0,0,1,1,2,71,0,146,1,0,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,12,0,3,0,0,0,0,0,1,0,0,17,1,0,1,0,0,0,0,0,4,0,0,0,1,6,4,21,0,0,0,0,1,0,0,3,0,0,1,0,0,4,21,2,0,2,0,0,0,32,19,4,0,0,0,2,18,42,1,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,1,43,0,0
14,1,3,0,1,0,1,0,0,0,0,1,3,6,0,1,0,0,0,1,1,0,0,0,0,0,1,2,72,0,150,0,0,0,1,0,3,1,0,0,2,1,1,0,0,0,0,0,12,0,4,0,0,0,0,0,1,0,0,17,1,0,1,0,0,0,0,0,4,0,0,0,1,5,5,22,0,0,0,0,0,0,1,2,0,0,1,0,0,4,19,1,0,2,0,0,1,31,16,4,1,0,0,3,21,40,2,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,43,0,0
15,0,8,0,0,0,0,0,0,2,2,0,3,5,0,1,0,0,1,0,0,0,0,0,1,0,2,1,72,0,143,1,0,0,1,0,1,1,0,1,3,1,1,0,0,0,0,0,17,0,2,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,8,0,0,0,0,5,3,23,0,0,0,1,0,0,0,3,1,0,1,0,0,4,18,1,0,2,0,0,0,33,16,4,0,0,0,4,20,36,1,0,0,1,0,0,1,10,0,0,0,1,0,0,0,0,0,1,45,0,0
16,1,6,0,0,1,1,0,0,0,1,1,2,5,0,1,0,0,0,0,0,0,0,0,0,1,1,2,69,0,145,1,0,0,0,0,2,0,0,0,3,1,1,1,0,0,0,1,12,0,2,0,0,0,0,0,1,0,0,20,1,0,0,1,0,0,0,0,10,0,1,0,0,8,4,24,0,0,0,1,0,0,0,2,1,0,1,0,0,4,17,1,0,4,0,0,0,33,13,4,0,0,0,4,18,37,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,1,47,0,0
17,1,5,0,0,1,1,0,0,1,0,0,3,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,73,0,151,0,0,0,0,0,2,1,0,0,3,0,1,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,6,0,0,0,0,9,3,25,0,0,0,1,0,0,1,2,1,0,1,0,0,4,17,1,0,3,0,0,1,33,15,4,1,0,0,3,19,35,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,0,0,1,48,0,0
18,2,8,0,1,0,0,0,0,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,1,1,2,70,0,143,1,0,0,1,0,4,1,0,0,2,0,0,2,0,0,0,0,13,0,3,0,0,0,0,0,1,0,0,16,1,0,1,1,0,0,1,0,10,0,1,0,0,7,3,26,0,0,0,1,0,0,1,2,1,0,1,0,0,4,19,1,0,2,0,0,0,32,11,4,0,0,0,2,20,35,0,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,2,46,1,0
19,1,11,0,1,0,0,0,0,1,0,1,4,7,0,1,0,0,0,0,0,0,0,0,0,2,1,2,75,0,143,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,11,0,3,0,0,0,0,2,0,0,0,15,1,0,0,1,0,0,0,0,7,1,1,0,0,7,3,27,0,0,0,0,0,0,1,2,1,0,1,1,0,4,19,1,0,2,0,0,0,35,13,3,0,0,0,2,18,33,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,1,0,2,46,0,0
20,1,2,0,1,0,0,0,0,1,0,0,3,7,0,1,0,0,0,0,1,0,0,0,1,2,1,2,73,0,148,1,0,0,1,0,1,0,0,1,3,0,1,1,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,0,3,0,1,0,0,6,3,27,0,0,0,0,1,0,0,1,0,0,1,0,0,4,15,1,0,2,0,0,0,36,20,4,0,0,0,3,17,28,0,0,0,0,0,0,1,13,0,0,0,2,0,0,1,1,0,3,51,0,0
